job_id,created_by,order_id,recurring_id,recurring_count,partner_order_id,team_id,vertical,merchant_id,geofence,tags,auto_assignment,dispatcher_id,job_hash,has_pickup,has_delivery,is_routed,pickup_delivery_relationship,job_description,job_pickup_datetime,job_delivery_datetime,job_pickup_latitude,job_pickup_longitude,job_latitude,job_longitude,creation_datetime,fleet_id,first_fleet_id,user_id,fleet_rating,customer_comment,is_customer_rated,customer_id,arrived_datetime,started_datetime,completed_datetime,acknowledged_datetime,job_status,is_active,job_type,completed_by_admin,open_tracking_link,timezone,job_time,job_date,job_time_utc,job_date_utc,total_distance_travelled,form_id,customer_rating,driver_comment,remarks,barcode,ride_type,matched_pickup_delivery_relationship,is_return_task,insurance_amount,upto_limit,is_package_insured,old_pickup_address,old_pickup_lattitude,old_pickup_longitude,total_amount,payment_method,is_last_delivery,subtotal_amount,total_insurance_amount,total_discount,total_amount_for_all_tasks,total_no_of_tasks,incident_marked_at,incident_marked_at_latitude,incident_marked_at_longitude,is_schedule_task,unique_order_id,service_charge_amount,admin_amount,is_pickup_completed_before,benefit_type,promo_value,old_payment_method,is_job_edited,amount_for_first_task,delivery_completed_by,is_cod_job,cash_handling_charges,cash_handling_percentage,parcel_amount,kwister_cash_handling_charge,delivery_charge_by_buyer,delivery_charge,outstanding_amount,net_processed_amount,surge_cost,surge_type,task_history_image,order_payable_amount,pricing_amount,actual_order_payable_amount,cancellation_reason,cancellation_charges,is_refund_enable,refund_amount,vehicle_id,delivery_instruction,loaders_amount,delivery_images,is_paid,loaders_count
1,3,5,0,0,NULL,1,0,0,0,NULL,1,NULL,309806292c5c4c9766c1d5de52d752de,1,1,0,1.16E+17,NULL,06/14/19 06:44 PM,0000-00-00 00:00:00,30.7333148,76.7794179,30.7333148,76.7794179,06/14/19 01:14 PM,1,1,1,0,NULL,0,NULL,06/14/19 01:15 PM,06/14/19 01:14 PM,06/14/19 01:15 PM,06/14/19 01:14 PM,2,1,0,0,0,-330,06/14/19 06:44 PM,2019-06-14,06/14/19 01:14 PM,2019-06-14,NULL,2,4,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,90,8,0,40,0,0,90,1,NULL,NULL,NULL,0,1AA000,0,72,1,NULL,NULL,NULL,0,90,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
3,3,5,0,0,NULL,1,0,0,0,NULL,1,NULL,c88f544e1ac6c239054353666b5cfced,1,1,0,3.16E+17,NULL,06/14/19 06:47 PM,0000-00-00 00:00:00,30.7333148,76.7794179,30.7333148,76.7794179,06/14/19 01:17 PM,1,1,1,0,NULL,0,NULL,06/14/19 01:17 PM,06/14/19 01:17 PM,06/14/19 01:17 PM,06/14/19 01:17 PM,2,1,0,0,0,-330,06/14/19 06:47 PM,2019-06-14,06/14/19 01:17 PM,2019-06-14,NULL,2,5,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,90,262144,0,40,0,0,90,1,NULL,NULL,NULL,0,3AA000,0,72,1,NULL,NULL,NULL,0,90,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
5,4,1,0,0,NULL,1,0,0,0,NULL,1,NULL,fbe23210f868496251ccedbfdf32fb18,1,1,0,5.16E+17,,06/14/19 06:58 PM,0000-00-00 00:00:00,30.7333148,76.7794179,30.7333148,76.7794179,06/14/19 01:22 PM,1,1,1,0,NULL,0,NULL,06/14/19 01:22 PM,06/14/19 01:22 PM,06/14/19 01:22 PM,06/14/19 01:22 PM,2,1,0,0,0,-330,06/14/19 06:58 PM,2019-06-14,06/14/19 01:28 PM,2019-06-14,NULL,1,2,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,70,8,0,20,0,0,70,1,NULL,NULL,NULL,0,5AA000,0,56,1,NULL,NULL,NULL,0,70,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
6,4,1,0,0,NULL,1,0,0,0,NULL,1,NULL,27282c4003c76d0876857b4a7edbf2cc,1,1,0,5.16E+17,,0000-00-00 00:00:00,06/14/19 07:22 PM,30.6949279317918,76.8794488907576,30.6949279317918,76.8794488907576,06/14/19 01:22 PM,1,1,1,0,NULL,0,NULL,06/14/19 01:23 PM,06/14/19 01:23 PM,06/14/19 01:23 PM,06/14/19 01:22 PM,2,1,1,0,0,-330,06/14/19 07:22 PM,2019-06-14,06/14/19 01:52 PM,2019-06-14,NULL,1,3,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,70,8,1,20,0,0,70,1,NULL,NULL,NULL,0,5AA000,0,56,1,NULL,NULL,NULL,0,70,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
7,4,1,0,0,NULL,1,0,0,0,NULL,1,NULL,7093066eb74c17fbcbf97686ebdc01c6,1,1,0,7.16E+17,,06/17/19 11:15 AM,0000-00-00 00:00:00,30.7333148,76.7794179,30.7333148,76.7794179,06/17/19 05:40 AM,1,1,1,0,NULL,0,NULL,06/17/19 05:42 AM,06/17/19 05:41 AM,06/17/19 05:42 AM,06/17/19 05:41 AM,2,1,0,0,0,-330,06/17/19 11:15 AM,2019-06-17,06/17/19 05:45 AM,2019-06-17,NULL,1,1,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,70,262144,0,20,0,0,70,1,NULL,NULL,NULL,0,7AA000,0,56,1,NULL,NULL,NULL,0,70,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
8,4,1,0,0,NULL,1,0,0,0,NULL,1,NULL,3013109c84352bf42700f7476e33604f,1,1,0,7.16E+17,,0000-00-00 00:00:00,06/17/19 11:39 AM,30.6949279317918,76.8794488907576,30.6949279317918,76.8794488907576,06/17/19 05:40 AM,1,1,1,0,NULL,0,NULL,06/17/19 05:44 AM,06/17/19 05:44 AM,06/17/19 05:44 AM,06/17/19 05:41 AM,2,1,1,0,0,-330,06/17/19 11:39 AM,2019-06-17,06/17/19 06:09 AM,2019-06-17,NULL,1,2,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,70,262144,1,20,0,0,70,1,NULL,NULL,NULL,0,7AA000,0,56,1,NULL,NULL,NULL,0,70,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
9,4,1,0,0,NULL,1,0,0,0,NULL,2,NULL,5ce1c884d5065a7d398beab7efe3a49d,1,1,0,9.16E+17,,06/17/19 12:02 PM,0000-00-00 00:00:00,30.7333148,76.7794179,30.7333148,76.7794179,06/17/19 06:28 AM,1,1,1,0,NULL,0,NULL,06/17/19 06:31 AM,06/17/19 06:30 AM,06/17/19 06:31 AM,06/17/19 06:29 AM,2,1,0,0,0,-330,06/17/19 12:02 PM,2019-06-17,06/17/19 06:32 AM,2019-06-17,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,70,8,0,20,0,0,70,1,NULL,NULL,NULL,0,9AA000,0,56,1,NULL,NULL,NULL,0,70,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
10,4,1,0,0,NULL,1,0,0,0,NULL,2,NULL,cdf567d3338eee84a2e263cb47c764b7,1,1,0,9.16E+17,,0000-00-00 00:00:00,06/17/19 12:26 PM,30.6949279317918,76.8794488907576,30.6949279317918,76.8794488907576,06/17/19 06:28 AM,1,1,1,0,NULL,0,NULL,06/17/19 06:31 AM,06/17/19 06:31 AM,06/17/19 06:31 AM,06/17/19 06:29 AM,2,1,1,0,1,-330,06/17/19 12:26 PM,2019-06-17,06/17/19 06:56 AM,2019-06-17,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,70,8,1,20,0,0,70,1,NULL,NULL,NULL,0,9AA000,0,56,1,NULL,NULL,NULL,0,70,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
11,4,1,0,0,NULL,1,0,0,0,NULL,2,NULL,1106f291603b84f0e6d6804309c94f26,1,1,0,1.12E+18,,06/17/19 12:10 PM,0000-00-00 00:00:00,30.7333148,76.7794179,30.7333148,76.7794179,06/17/19 06:35 AM,1,1,1,0,NULL,0,NULL,06/17/19 06:36 AM,06/17/19 06:36 AM,06/17/19 06:36 AM,06/17/19 06:36 AM,2,1,0,0,0,-330,06/17/19 12:10 PM,2019-06-17,06/17/19 06:40 AM,2019-06-17,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,70,8,0,20,0,0,70,1,NULL,NULL,NULL,0,11AA000,0,56,1,NULL,NULL,NULL,0,70,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
12,4,1,0,0,NULL,1,0,0,0,NULL,2,NULL,55ce900dfb0d451d95fd7d80d16fcc07,1,1,0,1.12E+18,,0000-00-00 00:00:00,06/17/19 12:34 PM,30.6949279317918,76.8794488907576,30.6949279317918,76.8794488907576,06/17/19 06:35 AM,1,1,1,0,NULL,0,NULL,06/17/19 06:38 AM,06/17/19 06:37 AM,06/17/19 06:38 AM,06/17/19 06:36 AM,2,1,1,0,0,-330,06/17/19 12:34 PM,2019-06-17,06/17/19 07:04 AM,2019-06-17,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,70,8,1,20,0,0,70,1,NULL,NULL,NULL,0,11AA000,0,56,1,NULL,NULL,NULL,0,70,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
