job_id,created_by,order_id,recurring_id,recurring_count,partner_order_id,team_id,vertical,merchant_id,geofence,tags,auto_assignment,dispatcher_id,job_hash,has_pickup,has_delivery,is_routed,pickup_delivery_relationship,job_description,job_pickup_datetime,job_delivery_datetime,job_pickup_latitude,job_pickup_longitude,job_latitude,job_longitude,creation_datetime,fleet_id,first_fleet_id,user_id,fleet_rating,customer_comment,is_customer_rated,customer_id,arrived_datetime,started_datetime,completed_datetime,acknowledged_datetime,job_status,is_active,job_type,completed_by_admin,open_tracking_link,timezone,job_time,job_date,job_time_utc,job_date_utc,total_distance_travelled,form_id,customer_rating,driver_comment,remarks,barcode,ride_type,matched_pickup_delivery_relationship,is_return_task,insurance_amount,upto_limit,is_package_insured,old_pickup_address,old_pickup_lattitude,old_pickup_longitude,total_amount,payment_method,is_last_delivery,subtotal_amount,total_insurance_amount,total_discount,total_amount_for_all_tasks,total_no_of_tasks,incident_marked_at,incident_marked_at_latitude,incident_marked_at_longitude,is_schedule_task,unique_order_id,service_charge_amount,admin_amount,is_pickup_completed_before,benefit_type,promo_value,old_payment_method,is_job_edited,amount_for_first_task,delivery_completed_by,is_cod_job,cash_handling_charges,cash_handling_percentage,parcel_amount,kwister_cash_handling_charge,delivery_charge_by_buyer,delivery_charge,outstanding_amount,net_processed_amount,surge_cost,surge_type,task_history_image,order_payable_amount,pricing_amount,actual_order_payable_amount,cancellation_reason,cancellation_charges,is_refund_enable,refund_amount,vehicle_id,delivery_instruction,loaders_amount,delivery_images,is_paid,loaders_count,sareaId,cashback,card_type,reason_type
133488,4,37085,0,0,NULL,0,0,0,0,NULL,0,NULL,a4315002070b7634520162e3fe5f3e5e,1,1,0,13348816152369775282635,,"2021-03-12 10:15:00","0000-00-00 00:00:00",6.462727,3.55679,6.462727,3.55679,"2021-03-08 20:56:17",NULL,NULL,1,0,NULL,0,NULL,"2021-03-08 20:59:03","2021-03-08 20:59:03","2021-03-08 20:59:03","2021-03-08 20:59:03",9,1,0,0,0,-60,"2021-03-12 10:15:00",2021-03-12,"2021-03-12 09:15:00",2021-03-12,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,1100.00,8,0,1053.600,0.000,0.000,1100.00,1,NULL,NULL,NULL,1,133488CJ580,0.00,0.00,0,NULL,NULL,NULL,0,1053.60,NULL,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,NULL,1100.00,0.00,1100.00,"High Price",0.00,1,0.00,1,,0.00,,0,0,0,0.00,0,0
133489,4,37085,0,0,NULL,0,0,0,0,NULL,0,NULL,aa993796df4a566a7ee372a45ee94207,1,1,0,13348816152369775282635,,"0000-00-00 00:00:00","2021-03-12 10:28:00",6.497738482392785,3.5854023322463036,6.497738482392785,3.5854023322463036,"2021-03-08 20:56:17",NULL,NULL,1,0,NULL,0,NULL,"2021-03-08 20:59:04","2021-03-08 20:59:04","2021-03-08 20:59:04","2021-03-08 20:59:04",9,1,1,0,0,-60,"2021-03-12 10:28:00",2021-03-12,"2021-03-12 09:28:00",2021-03-12,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,1100.00,8,0,1053.600,0.000,0.000,1100.00,1,NULL,NULL,NULL,1,133488CJ580,0.00,0.00,0,NULL,NULL,NULL,0,1053.60,NULL,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,NULL,1100.00,0.00,1100.00,"High Price",0.00,0,0.00,1,,0.00,,0,0,0,0.00,0,0
134597,4,19189,0,0,NULL,0,0,0,0,NULL,1,NULL,59fa8f4a36a1d72c9001b02cbf3c0b34,1,1,0,13459716154690257160754,,"2021-03-12 08:30:00","0000-00-00 00:00:00",6.619514499999999,3.2998689,6.619514499999999,3.2998689,"2021-03-11 13:23:45",NULL,NULL,1,0,NULL,0,NULL,"2021-03-12 07:12:04","2021-03-12 07:12:04","2021-03-12 07:12:04","2021-03-12 07:12:04",9,1,0,0,0,-60,"2021-03-12 08:30:00",2021-03-12,"2021-03-12 07:30:00",2021-03-12,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,0.00,2097152,0,1732.800,0.000,0.000,0.00,1,NULL,NULL,NULL,1,134597CK089,0.00,0.00,0,NULL,NULL,NULL,0,1732.80,NULL,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,NULL,1800.00,0.00,1800.00,NULL,0.00,0,1732.80,1,,0.00,,0,0,0,0.00,0,1
134598,4,19189,0,0,NULL,0,0,0,0,NULL,1,NULL,0bc3d09304b1c60cf30e5746ca65d370,1,1,0,13459716154690257160754,,"0000-00-00 00:00:00","2021-03-12 09:06:00",6.699607899999999,3.2731629,6.699607899999999,3.2731629,"2021-03-11 13:23:45",NULL,NULL,1,0,NULL,0,NULL,"2021-03-12 07:12:04","2021-03-12 07:12:04","2021-03-12 07:12:04","2021-03-12 07:12:04",9,1,1,0,0,-60,"2021-03-12 09:06:00",2021-03-12,"2021-03-12 08:06:00",2021-03-12,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,0.00,2097152,0,1732.800,0.000,0.000,0.00,1,NULL,NULL,NULL,1,134597CK089,0.00,0.00,0,NULL,NULL,NULL,0,1732.80,NULL,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,NULL,1800.00,0.00,1800.00,NULL,0.00,0,1732.80,1,,0.00,,0,0,0,0.00,0,1
134607,4,26161,0,0,NULL,1,0,0,0,,0,NULL,9339495ac483459a501f6963c887fe35,1,1,0,13460716154692999694179,,"2021-03-12 09:00:00","0000-00-00 00:00:00",6.6015636,3.3381995,6.6015636,3.3381995,"2021-03-11 13:28:19",1190,1190,1,0,NULL,0,32205,"2021-03-12 06:59:24","2021-03-12 06:58:06","2021-03-12 07:41:06","2021-03-12 06:57:54",2,1,0,0,0,-60,"2021-03-12 09:00:00",2021-03-12,"2021-03-12 08:00:00",2021-03-12,18969,1,NULL,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,3200.00,8,0,2945.000,0.000,0.000,3200.00,1,NULL,NULL,NULL,0,134607CK094,0.00,600.00,1,NULL,NULL,NULL,0,2945.00,NULL,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,NULL,3000.00,1500.00,3000.00,NULL,0.00,0,0.00,1,,0.00,,0,0,0,0.00,0,0
134608,4,26161,0,0,NULL,1,0,0,0,,0,NULL,20d99eca9ee484df3048be67e11bb863,1,1,0,13460716154692999694179,,"0000-00-00 00:00:00","2021-03-12 10:45:00",,,6.434569000000001,3.5188978,"2021-03-11 13:28:20",1190,1190,1,0,NULL,0,49551,"2021-03-12 11:07:25","2021-03-12 07:41:18","2021-03-12 11:11:24","2021-03-12 06:57:54",2,1,1,0,0,-60,"2021-03-12 10:45:00",2021-03-12,"2021-03-12 09:45:00",2021-03-12,45969,1,NULL,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,3200.00,8,1,2945.000,0.000,0.000,3200.00,1,NULL,NULL,NULL,0,134607CK094,0.00,600.00,1,NULL,NULL,NULL,0,2945.00,1190,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyBceSHzDCsNjSnuerk9q5iYOXiVcuTeSXk&size=800x200&format=pngg&sensor=false&markers=color:green%7C6.6015636,3.3381995&markers=color:red%7C6.434569000000001,3.5188978",3000.00,1500.00,3000.00,NULL,0.00,0,0.00,1,,0.00,,0,0,0,0.00,0,0
134617,4,19189,0,0,NULL,1,0,0,0,,0,NULL,4659738641850aa4af56bc6cf1dec069,1,1,0,13461716154697977954765,,"2021-03-12 08:30:00","0000-00-00 00:00:00",6.547279999999999,3.30194,6.547279999999999,3.30194,"2021-03-11 13:36:37",1631,1631,1,0,NULL,0,23535,"2021-03-12 08:39:35","2021-03-12 07:36:35","2021-03-12 09:04:43","2021-03-12 07:36:35",2,1,0,0,0,-60,"2021-03-12 08:30:00",2021-03-12,"2021-03-12 07:30:00",2021-03-12,14220,1,NULL,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,0.00,2097152,0,1484.600,0.000,0.000,0.00,1,NULL,NULL,NULL,1,134617CK099,0.00,300.00,1,NULL,NULL,NULL,0,1484.60,NULL,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,NULL,1500.00,750.00,1500.00,NULL,0.00,0,0.00,1,,0.00,,0,0,0,0.00,0,0
134618,4,19189,0,0,NULL,1,0,0,0,,0,NULL,100d42e0b09ad3720b41993a3e39056f,1,1,0,13461716154697977954765,,"0000-00-00 00:00:00","2021-03-12 08:59:00",,,6.613261653792317,3.2959255948662753,"2021-03-11 13:36:37",1631,1631,1,0,NULL,0,49592,"2021-03-12 09:34:00","2021-03-12 09:05:03","2021-03-12 09:34:34","2021-03-12 09:05:03",2,1,1,0,0,-60,"2021-03-12 08:59:00",2021-03-12,"2021-03-12 07:59:00",2021-03-12,9548,1,NULL,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,0.00,2097152,1,1484.600,0.000,0.000,0.00,1,NULL,NULL,NULL,1,134617CK099,0.00,300.00,1,NULL,NULL,NULL,0,1484.60,1631,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyBceSHzDCsNjSnuerk9q5iYOXiVcuTeSXk&size=800x200&format=pngg&sensor=false&markers=color:green%7C6.547279999999999,3.30194&markers=color:red%7C6.613261653792317,3.2959255948662753",1500.00,750.00,1500.00,NULL,0.00,0,0.00,1,,0.00,,0,0,0,0.00,0,0
134687,4,36155,0,0,NULL,1,0,0,0,,1,NULL,02d7e3df51a822c6eae08ac0a0ab90a9,1,1,0,13468716154736712470076,,"2021-03-12 10:00:00","0000-00-00 00:00:00",6.5974063,3.3539915,6.5974063,3.3539915,"2021-03-11 14:41:11",2282,2282,1,0,NULL,0,47556,"2021-03-12 07:26:54","2021-03-12 07:14:26","2021-03-12 07:31:56","2021-03-12 07:12:38",2,1,0,0,0,-60,"2021-03-12 10:00:00",2021-03-12,"2021-03-12 09:00:00",2021-03-12,4121,1,5.0,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,1200.00,8,0,1163.500,0.000,0.000,1200.00,1,NULL,NULL,NULL,0,134687CK129,0.00,240.00,1,NULL,NULL,NULL,0,1163.50,NULL,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,NULL,1200.00,600.00,1200.00,NULL,0.00,0,0.00,1,,0.00,,0,0,0,0.00,0,0
134688,4,36155,0,0,NULL,1,0,0,0,,1,NULL,efbba229f70932f148e5678385f93775,1,1,0,13468716154736712470076,,"0000-00-00 00:00:00","2021-03-12 11:00:00",,,6.5818185,3.3211348,"2021-03-11 14:41:11",2282,2282,1,0,NULL,0,49569,"2021-03-12 07:53:11","2021-03-12 07:35:59","2021-03-12 07:55:42","2021-03-12 07:12:38",2,1,1,0,0,-60,"2021-03-12 11:00:00",2021-03-12,"2021-03-12 10:00:00",2021-03-12,3798,1,5.0,NULL,NULL,NULL,0,NULL,0,0.00,0.00,0,,,,1200.00,8,1,1163.500,0.000,0.000,1200.00,1,NULL,NULL,NULL,0,134687CK129,0.00,240.00,1,NULL,NULL,NULL,0,1163.50,2282,0,0.00,1.70,0.00,0.00,0,0.00,0.00,0.00,0.00,0,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyBceSHzDCsNjSnuerk9q5iYOXiVcuTeSXk&size=800x200&format=pngg&sensor=false&markers=color:green%7C6.5974063,3.3539915&markers=color:red%7C6.5818185,3.3211348",1200.00,600.00,1200.00,NULL,0.00,0,0.00,1,,0.00,,0,0,0,0.00,0,0
